Time,%,hPa,a,W/m^2,b,h,°C,°F,K,°C,°F,K
1/1/2022 0:00,,,,0,,,,,,22.7,,
1/1/2022 0:05,,,,0,,,,,,22.7,,
1/1/2022 0:10,,,,0,,,,,,22.7,,
1/1/2022 0:15,,,,0,,,,,,22.7,,
1/1/2022 0:20,,,,0,,,,,,22.6,,
1/1/2022 0:25,,,,0,,,,,,22.7,,
1/1/2022 0:30,,,,0,,,,,,22.7,,
1/1/2022 0:35,,,,0,,,,,,22.7,,
1/1/2022 0:40,,,,0,,,,,,22.8,,
1/1/2022 0:45,,,,0,,,,,,22.8,,
1/1/2022 0:50,,,,0,,,,,,22.8,,
1/1/2022 0:55,,,,0,,,,,,22.8,,
1/1/2022 1:00,,,,0,,,,,,22.8,,
1/1/2022 1:05,,,,0,,,,,,22.8,,
1/1/2022 1:10,,,,0,,,,,,22.8,,
1/1/2022 1:15,,,,0,,,,,,22.7,,
1/1/2022 1:20,,,,0,,,,,,22.7,,
1/1/2022 1:25,,,,0,,,,,,22.7,,
1/1/2022 1:30,,,,0,,,,,,22.7,,
1/1/2022 1:35,,,,0,,,,,,22.7,,
1/1/2022 1:40,,,,0,,,,,,22.7,,
1/1/2022 1:45,,,,0,,,,,,22.7,,
1/1/2022 1:50,,,,0,,,,,,22.7,,
1/1/2022 1:55,,,,0,,,,,,22.6,,
1/1/2022 2:00,,,,0,,,,,,22.7,,
1/1/2022 2:05,,,,0,,,,,,22.7,,
1/1/2022 2:10,,,,0,,,,,,22.7,,
1/1/2022 2:15,,,,0,,,,,,22.6,,
1/1/2022 2:20,,,,0,,,,,,22.6,,
1/1/2022 2:25,,,,0,,,,,,22.6,,
1/1/2022 2:30,,,,0,,,,,,22.6,,
1/1/2022 2:35,,,,0,,,,,,22.6,,
1/1/2022 2:40,,,,0,,,,,,22.6,,
1/1/2022 2:45,,,,0,,,,,,22.5,,
1/1/2022 2:50,,,,0,,,,,,22.5,,
1/1/2022 2:55,,,,0,,,,,,22.5,,
1/1/2022 3:00,,,,0,,,,,,22.5,,
1/1/2022 3:05,,,,0,,,,,,22.5,,
1/1/2022 3:10,,,,0,,,,,,22.4,,
1/1/2022 3:15,,,,0,,,,,,22.4,,
1/1/2022 3:20,,,,0,,,,,,22.3,,
1/1/2022 3:25,,,,0,,,,,,22.3,,
1/1/2022 3:30,,,,0,,,,,,22.3,,
1/1/2022 3:35,,,,0,,,,,,22.3,,
1/1/2022 3:40,,,,0,,,,,,22.3,,
1/1/2022 3:45,,,,0,,,,,,22.3,,
1/1/2022 3:50,,,,0,,,,,,22.3,,
1/1/2022 3:55,,,,0,,,,,,22.3,,
1/1/2022 4:00,,,,0,,,,,,22.3,,
1/1/2022 4:05,,,,0,,,,,,22.3,,
1/1/2022 4:10,,,,0,,,,,,22.3,,
1/1/2022 4:15,,,,0,,,,,,22.2,,
1/1/2022 4:20,,,,0,,,,,,22.2,,
1/1/2022 4:25,,,,0,,,,,,22.2,,
1/1/2022 4:30,,,,0,,,,,,22.2,,
1/1/2022 4:35,,,,0,,,,,,22.2,,
1/1/2022 4:40,,,,0,,,,,,22.2,,
1/1/2022 4:45,,,,0,,,,,,22.1,,
1/1/2022 4:50,,,,0,,,,,,22.1,,
1/1/2022 4:55,,,,0,,,,,,22.1,,
1/1/2022 5:00,,,,0,,,,,,22.1,,
1/1/2022 5:05,,,,0,,,,,,22.1,,
1/1/2022 5:10,,,,0,,,,,,22.1,,
1/1/2022 5:15,,,,0,,,,,,22.2,,
1/1/2022 5:20,,,,0,,,,,,22.2,,
1/1/2022 5:25,,,,0,,,,,,22.2,,
1/1/2022 5:30,,,,0,,,,,,22.2,,
1/1/2022 5:35,,,,0,,,,,,22.2,,
1/1/2022 5:40,,,,0,,,,,,22.2,,
1/1/2022 5:45,,,,0,,,,,,22.2,,
1/1/2022 5:50,,,,0,,,,,,22.3,,
1/1/2022 5:55,,,,0,,,,,,22.3,,
1/1/2022 6:00,,,,0,,,,,,22.2,,
1/1/2022 6:05,,,,0,,,,,,22.2,,
1/1/2022 6:10,,,,0,,,,,,22.2,,
1/1/2022 6:15,,,,0,,,,,,22.2,,
1/1/2022 6:20,,,,0,,,,,,22.2,,
1/1/2022 6:25,,,,0,,,,,,22.2,,
1/1/2022 6:30,,,,0,,,,,,22.2,,
1/1/2022 6:35,,,,0,,,,,,22.2,,
1/1/2022 6:40,,,,0,,,,,,22.1,,
1/1/2022 6:45,,,,0,,,,,,22.1,,
1/1/2022 6:50,,,,0,,,,,,22,,
1/1/2022 6:55,,,,0,,,,,,22,,
1/1/2022 7:00,,,,0,,,,,,22,,
1/1/2022 7:05,,,,0,,,,,,22,,
1/1/2022 7:10,,,,0,,,,,,22,,
1/1/2022 7:15,,,,0,,,,,,22.1,,
1/1/2022 7:20,,,,0,,,,,,22.1,,
1/1/2022 7:25,,,,0,,,,,,22.1,,
1/1/2022 7:30,,,,0,,,,,,22.1,,
1/1/2022 7:35,,,,0,,,,,,22.1,,
1/1/2022 7:40,,,,0,,,,,,22.1,,
1/1/2022 7:45,,,,0,,,,,,22.1,,
1/1/2022 7:50,,,,2,,,,,,22.1,,
1/1/2022 7:55,,,,4,,,,,,22.1,,
1/1/2022 8:00,,,,8,,,,,,22.1,,
1/1/2022 8:05,,,,11,,,,,,22.1,,
1/1/2022 8:10,,,,15,,,,,,22.1,,
1/1/2022 8:15,,,,20,,,,,,22.2,,
1/1/2022 8:20,,,,21,,,,,,22.2,,
1/1/2022 8:25,,,,18,,,,,,22.2,,
1/1/2022 8:30,,,,13,,,,,,22.2,,
1/1/2022 8:35,,,,11,,,,,,22.2,,
1/1/2022 8:40,,,,11,,,,,,22.2,,
1/1/2022 8:45,,,,14,,,,,,22.2,,
1/1/2022 8:50,,,,20,,,,,,22.3,,
1/1/2022 8:55,,,,20,,,,,,22.3,,
1/1/2022 9:00,,,,35,,,,,,23.6,,
1/1/2022 9:05,,,,42,,,,,,23.8,,
1/1/2022 9:10,,,,55,,,,,,23.9,,
1/1/2022 9:15,,,,55,,,,,,23.9,,
1/1/2022 9:20,,,,73,,,,,,24,,
1/1/2022 9:25,,,,78,,,,,,22.8,,
1/1/2022 9:30,,,,87,,,,,,22.9,,
1/1/2022 9:35,,,,97,,,,,,23.2,,
1/1/2022 9:40,,,,102,,,,,,23.4,,
1/1/2022 9:45,,,,108,,,,,,23.5,,
1/1/2022 9:50,,,,114,,,,,,23.6,,
1/1/2022 9:55,,,,114,,,,,,23.8,,
1/1/2022 10:00,,,,112,,,,,,24,,
1/1/2022 10:05,,,,117,,,,,,24.1,,
1/1/2022 10:10,,,,128,,,,,,24.3,,
1/1/2022 10:15,,,,145,,,,,,24.8,,
